C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
1    |* p Vir                            |PM*|13 54 42.1451632540 -01 30 11.242079124|208.6756048468918 -01.5031227997568|     ~| 6.258| 5.159|     ~|     ~|K1/2II/III           |  75 |   0
2    |HD 76924                           |*  |08 59 57.9373835646 +26 26 04.248259672|134.9914057648527 +26.4345134054644|     ~| 7.11 | 6.86 |     ~|     ~|A2                   |  18 |   1
3    |HD 58556                           |*  |07 25 57.2173840382 -02 14 54.482582994|111.4884057668257 -02.2484673841649|     ~| 7.54 | 6.97 |     ~|     ~|G1V                  |  35 |   0
4    |* eps02 Lyr                        |** |18 44 22.78056 +39 36 45.7851          |281.09491902 +39.61271808          |     ~| 5.43 | 5.23 | 5.93 |     ~|A6Vn+A7Vn            |  40 |   0
5    |HD 2942                            |*  |00 32 49.0863685392 +28 16 48.867657099|008.2045265355801 +28.2802410158608| 8.12 | 7.32 | 6.33 | 5.61 | 5.09 |G8III                |  42 |   0
6    |HD 170028                          |*  |18 26 19.6377162856 +26 13 39.785344308|276.5818238178565 +26.2277181511966|     ~| 6.755| 6.882|     ~|     ~|B3V                  |  21 |   0
7    |HD 71172                           |*  |08 25 37.3751760962 -08 57 21.818832475|126.4057299004008 -08.9560607867985|     ~| 7.47 | 6.51 |     ~|     ~|K0III                |   7 |   0
8    |* nu. Sco                          |** |16 11 59.73568 -19 27 38.5361          |242.99889865 -19.46070448          | 3.42 | 4.05 | 4.00 | 3.90 | 3.87 |B2V                  | 362 |   0
9    |V* HR CMa                          |EB*|06 32 46.8721481683 -11 09 58.968732064|098.1953006173679 -11.1663802033512| 8.12 | 7.35 | 6.24 | 5.49 | 5.01 |G9III:Ba3.5          | 171 |   0
10   |HD 179433                          |PM*|19 14 39.5605367751 -45 11 36.698265324|288.6648355698961 -45.1935272959234|     ~| 6.812| 5.909|     ~|     ~|G8III                |  17 |   0
